ID	Status	Rzeczywisty rezultat	Waga	Zrzut ekranu	Reprodukcja
INST-01	PASS	"Znaleziono: 571, paginator: ""21-40 z 571"", search input: ""Akademia"", pierwszy indeks wiersza: 21 — deep-link poprawnie restoruje wszystkie 3 parametry (search+offset+limit)"	-	-	-
INST-02	PASS	"Znaleziono: 84 dla search ""łódź"" (lowercase). Pierwsze wiersze: ""Akademia Humanistyczno-Ekonomiczna w Łodzi"" i podobne — case-insensitive z zachowaniem diacritics działa"	-	-	-
INST-03	FAIL	"Bezpośrednia nawigacja do URL z sort=-name nie stosuje sortowania desc. Pierwsze wiersze to ""Dobre Imprezy"", ""Edu Leo"", ""FUNDACJA"", ""4Edu"" — czyli default ascending order. Sort desc działa tylko po ręcznym kliknięciu nagłówka ""Nazwa"" (weryfikowane w INST-05 run2, gdzie pierwszy wiersz po klik desc to ""Związek ZDZ Oddział w Warszawie"")"	Medium	screenshots/RUN3-INST-03.png	1) Otwórz nową kartę 2) Wklej https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=0&sort=-name 3) Obserwuj: sort nie jest zaaplikowany
INST-04	BLOCKED	"Nie można zweryfikować polskiego porządku sortowania — baza 2605 wpisów nie zawiera nazw zaczynających się od Ż ani Ź. Search po fragmencie ""Ż"" znalazł 21 rekordów, wszystkie zawierają Ż w środku nazwy (np. ""...Wydział w Żywcu""), żaden nie startuje z Ż"	-	-	-
INST-05	PASS	"Znaleziono: 1 dla search ""\""Dobre Imprezy\"""" (z cudzysłowami). Wynik: ""Dobre Imprezy"" Andrzej Prusisz. Brak console errors, backend prawidłowo obsługuje cudzysłowy w query string"	-	-	-
INST-06	PASS	"Znaleziono: 204 dla search ""; Filia"" (ze średnikiem). Wszystkie 20 widocznych wierszy zawiera średnik w nazwie. Backend prawidłowo obsługuje ; w query, nie łamie zapytania jako separator parametrów"	-	-	-
INST-07	FAIL	"URL auto-klamped z offset=99999 do offset=99980 (99999 - 19). Tabela pokazuje ""Brak danych"" (empty state OK). ALE paginator wyświetla ""99981-2605 z 2605"" — start (99981) > end (2605), logicznie niepoprawne. Powinno pokazywać ostatnią prawidłową stronę (2601-2605 z 2605) lub wyraźnie zakomunikować ""strona nie istnieje"""	Minor	screenshots/RUN3-INST-07.png	1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=99999 2) Obserwuj paginator na dole tabeli
INST-08	PASS	"URL ?limit=50&offset=200 pokazuje 50 wierszy, paginator: ""201-250 z 2605"", pierwsza kolumna indeksu: 201, combobox: 50 — zmiana limit nie teleportuje offset na 0"	-	-	-
INST-09	FAIL	"Klik ""Pobierz listę instytucji w pliku Excel"" na filtrowanym widoku (search=Akademia) pobrał plik lista_instytucji.xlsx zawierający 466 wierszy danych. Widok wskazywał 571 wyników. Rozjazd: 105 rekordów widocznych w wyszukiwarce (~18%) nie trafiło do exportu. Wszystkie 466 wierszy w pliku zawierają ""Akademia"" (filter zaaplikowany), więc export ISTNIEJE ale jest niekompletny. Naruszenie best-practices: ""Exported content matches the filtered view"""	Medium	screenshots/RUN3-INST-09-export.xlsx	1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=0&search=Akademia 2) Zweryfikuj licznik = 571 3) Kliknij ikonę pobierania Excel 4) Otwórz pobrany plik i policz wiersze — będzie 466, nie 571
INST-10	PASS	Nawigacja: baseline → search=Akademia → Back → wróciło do baseline (URL bez search, znaleziono 2605, search input pusty). Historia URL zachowuje state	-	-	-
