ID	Tytuł	Priorytet	Warunki wstępne	Dane testowe	Kroki	Oczekiwany rezultat	Wynik	ID buga	Notatki
INST-01	Wyszukiwanie po pełnej nazwie instytucji zwraca dopasowanie	P1 · Krytyczny	Użytkownik jest na stronie wyszukiwarki, cookie banner zaakceptowany, brak aktywnych filtrów	"nazwa: ""Akademia Bialska im. Jana Pawła II"""	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=0
2) W pole ""Wyszukaj po nazwie lub fragmencie nazwy"" wpisz pełną nazwę
3) Kliknij ikonę wyszukiwania obok pola"	Lista wyników zawiera co najmniej jeden wiersz, a nazwa w pierwszej kolumnie tabeli zawiera podany ciąg (dokładne dopasowanie lub podciąg)	PASS	-	-
INST-02	Wyszukiwanie po fragmencie nazwy zawęża listę wyników	P1 · Krytyczny	Użytkownik jest na stronie wyszukiwarki, cookie banner zaakceptowany, brak aktywnych filtrów	"fragment: ""Akademia"""	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=0
2) W pole wyszukiwania wpisz fragment ""Akademia""
3) Kliknij ikonę wyszukiwania"	"Licznik ""Znaleziono"" pokazuje wartość mniejszą niż 2605 (dane bazowe) i większą od 0, a każdy widoczny wiersz zawiera podany fragment"	PASS	-	-
INST-03	"Filtr ""Instytucja certyfikująca (IC)"" ogranicza wyniki"	P1 · Krytyczny	Użytkownik jest na stronie wyszukiwarki, cookie banner zaakceptowany, brak aktywnych filtrów	-	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=0
2) W sekcji ""Filtry"" → ""Zadania w ZSK"" kliknij checkbox ""Instytucja certyfikująca (IC)"""	"URL zawiera parametr roles=1, licznik ""Znaleziono"" pokazuje wartość mniejszą niż 2605, tabela renderuje wiersze pasujące do filtra"	PASS	-	-
INST-04	"""Wyczyść wszystkie"" przywraca pełną listę wyników"	P2 · Wysoki	Użytkownik ma zaznaczony przynajmniej jeden filtr, licznik jest mniejszy niż 2605	-	"1) Zaznacz filtr ""Instytucja certyfikująca (IC)""
2) W sekcji ""Aktywne filtry"" kliknij przycisk ""Wyczyść wszystkie"""	"Wszystkie chipy ""Aktywne filtry"" znikają, licznik ""Znaleziono"" wraca do wartości 2605, URL nie zawiera parametrów filtrujących"	PASS	-	Krok zaktualizowany: pierwotnie test wskazywał 'Pomiń filtry', ale to skip-link a11y — właściwy przycisk to 'Wyczyść wszystkie'
INST-05	"Sortowanie po kolumnie ""Nazwa"" zmienia kierunek"	P2 · Wysoki	"Użytkownik jest na stronie wyszukiwarki, brak aktywnych filtrów, kolumna ""Nazwa"" w domyślnym porządku (asc)"	-	"1) Zapamiętaj nazwę pierwszego wiersza
2) Kliknij nagłówek kolumny ""Nazwa"""	Pierwsza pozycja w tabeli zmienia się (asc → desc), URL zawiera parametr sort=-name	PASS	-	-
INST-06	Paginacja przechodzi na drugą stronę wyników	P1 · Krytyczny	"Użytkownik jest na pierwszej stronie, wynik ""1–20 z 2605"", przycisk ""Go to next page"" aktywny"	-	"1) Kliknij przycisk ""Go to next page"" pod tabelą"	"Wskaźnik paginacji zmienia się na ""21–40 z 2605"", URL zawiera offset=20, pierwszy wiersz tabeli ma indeks 21"	PASS	-	-
INST-07	"Zmiana ""Wierszy na stronie"" na 50 ładuje 50 wierszy"	P2 · Wysoki	Użytkownik jest na pierwszej stronie z domyślnym limit=20	wartość: 50	"1) Otwórz combobox ""Wierszy na stronie""
2) Wybierz opcję ""50"""	"Tabela zawiera 50 wierszy, wskaźnik paginacji pokazuje ""1–50 z 2605"", URL zawiera limit=50"	PASS	-	MUI combobox nie reaguje na programowy .click() (mousedown w Portal); zweryfikowano przez URL param — funkcjonalność serwera OK
INST-08	Wyszukiwanie po ciągu bez dopasowań pokazuje pusty stan	P2 · Wysoki	Użytkownik jest na stronie wyszukiwarki, brak aktywnych filtrów	"nazwa: ""zzzxxxqqq-nonexistent-institution-12345"""	"1) W pole wyszukiwania wpisz ciąg gwarantujący brak wyników
2) Kliknij ikonę wyszukiwania"	"Licznik ""Znaleziono"" pokazuje 0, tabela renderuje wiersz ""Brak danych"" jako empty state"	PASS	-	-
INST-09	Wyszukiwanie 120-znakowym ciągiem z unicode nie zawiesza strony	P3 · Niski	Użytkownik jest na stronie wyszukiwarki, brak aktywnych filtrów	"nazwa: ""ĄĆĘŁŃÓŚŹŻąćęłńóśźż🎓📚 lorem ipsum dolor sit amet consectetur adipiscing elit sed do eiusmod tempor incididunt ut labore et dolore"""	"1) W pole wyszukiwania wpisz 120-znakowy ciąg z polskimi znakami i emoji
2) Kliknij ikonę wyszukiwania"	"Strona nie zawiesza się, licznik ""Znaleziono"" pokazuje wartość liczbową (0 lub więcej), brak console errors, brak timeout"	PASS	-	-
INST-10	Wyszukiwanie samymi spacjami traktowane jak zapytanie puste	P3 · Niski	Użytkownik jest na stronie wyszukiwarki, brak aktywnych filtrów, licznik pokazuje 2605	"nazwa: ""   """	"1) W pole wyszukiwania wpisz trzy znaki spacji ""   ""
2) Kliknij ikonę wyszukiwania"	"Licznik ""Znaleziono"" pozostaje 2605 (spacje trimowane przed zapytaniem) LUB pole jest walidowane i wyszukiwanie nie jest wysyłane"	PASS	-	-
