ID	Tytuł	Priorytet	Warunki wstępne	Dane testowe	Kroki	Oczekiwany rezultat	Wynik	ID buga	Notatki
INST-01	Wyszukanie instytucji po nazwie zwraca dopasowanie	P1 · Krytyczny	Użytkownik jest na stronie wyszukiwarki, cookie banner zaakceptowany, brak aktywnych filtrów	"nazwa: ""Akademia Bialska"", ""Uniwersytet Warszawski"", ""AGH im. Stanisława Staszica"", ""Politechnika Wrocławska"", ""SGH"", ""Uniwersytet Jagielloński"""	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=0
2) W pole ""Wyszukaj po nazwie lub fragmencie nazwy"" wpisz ""Akademia Bialska""
3) Kliknij ikonę wyszukiwania"	Lista wyników zawiera co najmniej 1 wiersz, pierwszy wiersz zawiera nazwę zgodną z zapytaniem	PASS	-	-
INST-02	Filtr instytucji certyfikującej (IC) zawęża listę wyników	P1 · Krytyczny	Użytkownik jest na stronie wyszukiwarki z licznikiem 2605, brak aktywnych filtrów	-	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=0
2) W sekcji ""Filtry"" → ""Zadania w ZSK"" zaznacz checkbox ""Instytucja certyfikująca (IC)"""	"URL zawiera parametr roles=1, licznik ""Znaleziono"" pokazuje wartość mniejszą niż 2605, w ""Aktywnych filtrach"" pojawia się chip ""Instytucja certyfikująca (IC)"""	PASS	-	-
INST-03	Filtr kategorii kwalifikacji zawęża listę wyników	P1 · Krytyczny	Użytkownik jest na stronie wyszukiwarki z licznikiem 2605, brak aktywnych filtrów	-	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=0
2) W sekcji ""Filtry"" → ""Kategoria kwalifikacji"" → ""Edukacja pozaformalna"" zaznacz checkbox ""wolnorynkowe"""	"URL zawiera parametr qualification_categories=5, licznik ""Znaleziono"" spada z 2605, w ""Aktywnych filtrach"" pojawia się chip ""wolnorynkowe"""	PASS	-	-
INST-04	Filtr siedziby po nazwie miejscowości zawęża listę wyników	P2 · Wysoki	Użytkownik jest na stronie wyszukiwarki z licznikiem 2605, brak aktywnych filtrów	"miejscowość: ""Warszawa"", ""Kraków"", ""Wrocław"", ""Poznań"", ""Gdańsk"", ""Łódź"", ""Lublin"""	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=0
2) W sekcji ""Filtry"" → ""Siedziba instytucji certyfikującej"" wpisz w combobox ""Warszawa""
3) Z dropdown wybierz opcję ""Warszawa"""	"URL zawiera parametr cities=Warszawa, licznik ""Znaleziono"" spada z 2605 do wartości reprezentującej instytucje z siedzibą w Warszawie, chip ""Warszawa"" widoczny w ""Aktywnych filtrach"""	PASS	-	-
INST-05	Kliknięcie w instytucję otwiera stronę z jej danymi	P1 · Krytyczny	"Użytkownik widzi listę wyników z co najmniej 1 instytucją (np. po wyszukiwaniu ""Akademia Bialska"")"	"instytucja: ""Akademia Bialska im. Jana Pawła II"", ""Uniwersytet Warszawski"", ""Politechnika Warszawska"", ""AGH"", ""SGH"""	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=0&search=Akademia+Bialska
2) Kliknij link z nazwą pierwszej instytucji w tabeli"	URL zmienia się na /wyszukiwarka-instytucji/instytucje/<slug>,<id>, otwiera się widok profilu z nazwą instytucji jako heading H1 i danymi kontaktowymi (NIP/KRS, adres siedziby)	PASS	-	-
INST-06	Wyszukiwanie z kilkoma filtrami łączy wszystkie warunki	P2 · Wysoki	Użytkownik jest na stronie wyszukiwarki, brak aktywnych filtrów	"search=""Akademia"" + IC + Warszawa; alternatywy: ""Uniwersytet"" + walidująca + Kraków, ""Politechnika"" + IC + Wrocław, ""Fundacja"" + IC + dowolne miasto"	1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=0&search=Akademia&roles=1&cities=Warszawa	"Licznik ""Znaleziono"" pokazuje wartość mniejszą niż każdy filtr osobno (30 zamiast 571 dla search, 579 dla IC, 350 dla Warszawa), ""Aktywne filtry"" pokazują 3 chipy (Akademia, IC, Warszawa), pierwszy wiersz to instytucja pasująca do wszystkich warunków"	PASS	-	-
INST-07	"Brak dopasowań wyświetla komunikat ""Brak danych"""	P2 · Wysoki	Użytkownik jest na stronie wyszukiwarki, brak aktywnych filtrów	"nazwa: ""xyzq-nonexistent"", ""aaaaaaaaaaaaaaaa"", ""1234567890"", ""Uniwersytet Marsjański"", ""!@#$%^&*()"""	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=0
2) W pole wyszukiwania wpisz ciąg gwarantujący brak dopasowań
3) Kliknij ikonę wyszukiwania"	"Licznik ""Znaleziono"" pokazuje 0, tabela zawiera 1 wiersz z tekstem ""Brak danych"", brak console errors"	PASS	-	-
INST-08	Wyszukiwanie z polskimi znakami i cudzysłowem działa poprawnie	P3 · Niski	Użytkownik jest na stronie wyszukiwarki, brak aktywnych filtrów	"search: `""akademia"" Łódź`, `Kraków & Politechnika`, `""SGH; SGGW""`, `Śląska Akademia`, `KRÓLEWSKA`"	1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=0&search=%22akademia%22+%C5%81%C3%B3d%C5%BA	"Backend obsługuje wszystkie warunki naraz: znajduje wyniki (> 0), pierwsze wiersze zawierają ""Akademia"" i ""Łodzi"" (case-insensitive match z diacritics, niełamiące cudzysłowy)"	PASS	-	Bundled edge per best-practices (nie enumerujemy per znak)
INST-09	Złośliwy kod w parametrze URL nie zostaje wykonany	P3 · Niski	Użytkownik nawiguje z zewnętrznego linku	"payload: `<script>alert(1)</script>`, `'""><img src=x onerror=alert(1)>`, `${7*7}`, `../../../etc/passwd`, `' OR 1=1--`"	1) Otwórz podany URL bezpośrednio (payload URL-encoded)	"Alert JavaScript NIE zostaje wywołany, search input pokazuje payload jako plain text, licznik ""Znaleziono"" pokazuje 0, brak <script> w innerHTML DOM, brak console errors"	PASS	-	Attack surface XSS — front-end sanitizacja OK
INST-13	Layout responsywny działa na mobile (375px)	P1 · Krytyczny	Użytkownik otwiera stronę na telefonie o szerokości ~375px (iPhone SE / średni Android)	viewport: 375×667, 360×640 (Android small), 414×896 (iPhone Plus)	"1) Ustaw viewport 375×667 (DevTools Device Toolbar → iPhone SE lub Playwright browser_resize)
2) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=0
3) Sprawdź czy nie ma horizontal scroll na dokumencie
4) Sprawdź czy search input jest widoczny i klikalny
5) Wykonaj wyszukiwanie fragmentu Akademia"	Brak horizontal scroll (scrollWidth ≤ innerWidth), search input widoczny, wyszukiwanie zwraca wyniki (Znaleziono > 0), tabela renderuje się (może scrollowanie w tabeli lub responsive column stacking — dopuszczalne)	PASS	-	Zweryfikowano automatycznie przez browser_resize + navigate. Search Akademia na 375px zwrócił 571 wyników, brak overflow. Screenshot: RESPONSIVE-mobile-375.png
INST-14	Layout responsywny działa na tablet (768px)	P1 · Krytyczny	Użytkownik otwiera stronę na tablecie o szerokości ~768px (iPad portrait, Android tablet)	viewport: 768×1024, 810×1080 (iPad Air), 800×1280 (Galaxy Tab)	"1) Ustaw viewport 768×1024
2) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=0
3) Sprawdź brak horizontal scroll
4) Sprawdź czy sekcja Filtry po lewej + tabela po prawej mieszczą się bez konfliktów
5) Wykonaj wyszukiwanie i przewiń tabelę"	Brak horizontal scroll, layout 2-kolumnowy lub stacked ale w pełni funkcjonalny, wszystkie interakcje osiągalne bez zoomingu	PASS	-	Zweryfikowano automatycznie przez browser_resize + navigate. Znaleziono 2605 na 768px, brak overflow, 20 rows widocznych. Screenshot: RESPONSIVE-tablet-768.png
INST-15	Manualny audyt WCAG — Percepcja (kontrast, reflow, powiększenie)	P1 · Krytyczny	Tester ma otwarty Chrome/Edge z zainstalowanym rozszerzeniem axe DevTools (lub Lighthouse a11y audit)	URL: https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=0	"1) Otwórz podany URL
2) Uruchom axe DevTools → ""Scan ALL of my page"" → sprawdź sekcję ""Color contrast""
3) DevTools → Toggle device toolbar → ustaw responsive 320×256 → sprawdź czy nie ma horizontal scroll i nic nie jest ucięte (reflow 1.4.10)
4) Cmd/Ctrl + ""+"" trzykrotnie żeby ustawić zoom 200% → sprawdź czy tekst się nie przycina, całość funkcjonalna (1.4.4)
5) DevTools → Rendering → Emulate vision deficiencies → ""achromatopsia"" (grayscale) → sprawdź czy status/znaczenie widoczne bez koloru (1.4.1)"	axe raportuje 0 contrast violations (text ≥ 4.5:1, UI ≥ 3:1) LUB znane wyjątki udokumentowane; reflow 320px — brak horizontal scroll, wszystkie interakcje osiągalne; zoom 200% — tekst czytelny, przyciski klikalne; w grayscale wszystkie stany/warnings/success rozpoznawalne (nie tylko przez kolor)	NOT RUN	-	Wymaga manualnej weryfikacji przez testera; przypisz osobę i deadline. Rekomendacja: 30 min pracy.
