ID	Tytuł	Priorytet	Warunki wstępne	Dane testowe	Kroki	Oczekiwany rezultat	Wynik	ID buga	Notatki
KWAL-01	Wyszukanie po nazwie kwalifikacji zwraca zgodny kafelek	P1 · Krytyczny	Strona wyszukiwarki załadowana z pełną listą kwalifikacji.	Fraza używana w krokach: "Występowanie publiczne"; alternatywy do testowania manualnego: "Kucharz", "Programista", "Kosmetyczka"	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-kwalifikacji/
2) Wpisz frazę ""Występowanie publiczne"" w pole ""Wyszukaj po nazwie, fragmencie nazwy, słowie kluczowym lub kodzie kwalifikacji""
3) Kliknij przycisk ""Szukaj"" obok pola wyszukiwania"	Lista wyników zawiera kafelek o dokładnej nazwie "Występowanie publiczne", licznik "Znaleziono" pokazuje wartość > 0 i mniejszą niż całkowita liczba kwalifikacji.	PASS	-	Znaleziono 168 wyników (fraza matchuje jako fragment).
KWAL-02	Kliknięcie kafelka otwiera profil kwalifikacji w nowej karcie	P1 · Krytyczny	Strona wyszukiwarki po wyszukaniu frazy z KWAL-01.	Fraza wyszukiwania używana w krokach: "Występowanie publiczne"; alternatywy do testowania manualnego: "Kucharz", "Programista"	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-kwalifikacji/
2) Wpisz frazę ""Występowanie publiczne"" w pole wyszukiwania i kliknij ""Szukaj""
3) Kliknij kafelek ""Występowanie publiczne"" na liście wyników"	Otwiera się nowa karta przeglądarki ze stroną profilu wybranej kwalifikacji; nagłówek strony profilu zgodny z nazwą klikniętego kafelka.	PASS	-	Nowa karta zawiera h1 "Występowanie publiczne" oraz 5 sekcji contentu (Podstawowe informacje, Wiedza i umiejętności, Walidacja, Jak i gdzie zdobyć kwalifikację, Inne informacje).
KWAL-03	Wyszukiwanie frazy bez wyników pokazuje pusty stan z komunikatem	P2 · Wysoki	Strona wyszukiwarki załadowana.	Fraza używana w krokach: "nieistniejaca_kwalifikacja_xyz_2026"; alternatywy do testowania manualnego: dowolny losowy ciąg 20+ znaków bez sensu językowego	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-kwalifikacji/
2) Wpisz ""nieistniejaca_kwalifikacja_xyz_2026"" w pole wyszukiwania
3) Kliknij ""Szukaj"""	Lista wyników jest pusta, licznik "Znaleziono" pokazuje 0, widoczny jest komunikat "Brak danych".	PASS	-	Znaleziono: 0, komunikat "Brak danych" widoczny.
KWAL-04	Wyszukiwanie działa niezależnie od wielkości liter i przycięcia spacji na krańcach	P2 · Wysoki	Strona wyszukiwarki załadowana.	Fraza bazowa używana w krokach: "Kucharz"; warianty do przetestowania: "kucharz" (małe), "KUCHARZ" (duże), "  Kucharz  " (spacje wiodące i końcowe)	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-kwalifikacji/
2) Wpisz ""Kucharz"" i kliknij ""Szukaj"", zanotuj wartość licznika ""Znaleziono""
3) Wyczyść pole i wpisz ""kucharz"", kliknij ""Szukaj""
4) Wyczyść pole i wpisz ""KUCHARZ"", kliknij ""Szukaj""
5) Wyczyść pole i wpisz ""  Kucharz  "" (z podwójną spacją na krańcach), kliknij ""Szukaj"""	Licznik "Znaleziono" jest identyczny dla wszystkich 4 wariantów wyszukiwania.	PASS	-	Wszystkie 4 warianty zwracają 12 wyników.
KWAL-05	Wyszukiwanie bez polskich znaków znajduje kwalifikacje z ogonkami	P2 · Wysoki	Strona wyszukiwarki załadowana.	Fraza bazowa: "księgowy" (z ogonkiem); wariant testowany w krokach: "ksiegowy" (bez ogonków); alternatywy manualne: "lodz" vs "łódź", "poznan" vs "poznań"	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-kwalifikacji/
2) Wpisz ""księgowy"" (z polskimi znakami), kliknij ""Szukaj"", zanotuj wartość ""Znaleziono""
3) Wyczyść pole i wpisz ""ksiegowy"" (bez polskich znaków), kliknij ""Szukaj"""	Licznik "Znaleziono" po kroku 3 jest równy licznikowi po kroku 2 (asciifolding zachowuje ten sam zestaw wyników).	FAIL	KWAL-BR-01	"księgowy" = 570, "ksiegowy" = 0. Asciifolding nie działa; dla portalu .gov.pl to standardowy oczekiwany PL UX pattern — potwierdź z product owner priorytet.
KWAL-06	Długi ciąg i próba wstrzyknięcia w parametrze URL nie łamią strony	P2 · Wysoki	Strona wyszukiwarki załadowana.	"Fraza długa: 500 znaków ""a""; URL z payloadem: ""https://kwalifikacje.gov.pl/wyszukiwarka-kwalifikacji/?search=<script>alert(1)</script>&limit=99999&offset=-1"""	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-kwalifikacji/
2) Wpisz w pole wyszukiwania 500 znaków ""a"" (jeden ciąg bez spacji), kliknij ""Szukaj""
3) Przejdź do https://kwalifikacje.gov.pl/wyszukiwarka-kwalifikacji/?search=<script>alert(1)</script>&limit=99999&offset=-1"	Strona nie ulega awarii, brak wyskakującego okna JavaScript, długi ciąg jest bezpiecznie obsłużony (pusty stan), URL z payloadem renderuje pusty stan bez wykonywania złośliwego kodu, parametry limit i offset są sanitowane.	PASS	-	URL jest przedmiotem testu (injection). Długi ciąg: Znaleziono 0 bez crash. Payload: brak alertu, limit=99999 sanitowany do 15, offset=-1 sanitowany do 0.
KWAL-07	Wybór kategorii z rozwijanej listy zawęża wyniki	P1 · Krytyczny	Strona wyszukiwarki załadowana z pełną listą (Znaleziono > 20000).	Kategoria używana w krokach: "rzemieślnicze (23)"; alternatywy manualne: "wolnorynkowe (265)", "sektorowe (47)", "uregulowane (50)", "szkolnictwo branżowe (1453)"	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-kwalifikacji/
2) Kliknij rozwijaną listę ""Kategoria kwalifikacji""
3) Wybierz opcję ""rzemieślnicze""
4) Kliknij przycisk ""Szukaj"" obok pola wyszukiwania"	Licznik "Znaleziono" pokazuje wartość równą liczbie przy nazwie kategorii (23) i znacznie mniejszą niż początkowa łączna liczba kwalifikacji.	PASS	-	Znaleziono: 23 (dokładnie zgodne z liczbą przy nazwie kategorii).
KWAL-08	Łączenie frazy tekstowej z kategorią zawęża wyniki oboma warunkami	P2 · Wysoki	Strona wyszukiwarki załadowana.	Fraza używana w krokach: "Kucharz"; Kategoria używana w krokach: "szkolnictwo branżowe (1453)"	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-kwalifikacji/
2) Wpisz ""Kucharz"" w pole wyszukiwania
3) Kliknij rozwijaną listę ""Kategoria kwalifikacji"" i wybierz ""szkolnictwo branżowe""
4) Kliknij ""Szukaj"""	Licznik "Znaleziono" jest mniejszy lub równy wynikom samego wyszukania "Kucharz" i mniejszy niż wynik samej kategorii; wszystkie kafelki jednocześnie zawierają "Kucharz" w nazwie i należą do kategorii "szkolnictwo branżowe".	PASS	-	Kucharz + szkolnictwo branżowe = 3 (< 12 dla Kucharz alone, < 1453 dla kategorii alone); wszystkie kafelki mają "Kucharz" w nazwie.
KWAL-09	Usunięcie kategorii przywraca listę bez tego zawężenia	P2 · Wysoki	Strona wyszukiwarki po wyszukaniu z wybraną kategorią.	Fraza używana w krokach: "Kucharz"; Kategoria wybierana i usuwana: "szkolnictwo branżowe"	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-kwalifikacji/
2) Wpisz ""Kucharz"" i wybierz kategorię ""szkolnictwo branżowe"", kliknij ""Szukaj""; zanotuj licznik
3) Kliknij ikonę X ""Usuń filtr: szkolnictwo branżowe"" nad listą wyników"	Licznik "Znaleziono" wraca do wartości sprzed wyboru kategorii (wynik dla samego wyszukania "Kucharz" = 12).	PASS	-	Po usunięciu kategorii: 3 → 12.
KWAL-10	Zaznaczenie filtra Dziedzina zawęża listę do wybranego obszaru	P1 · Krytyczny	Strona wyszukiwarki załadowana z pełną listą.	Filtr używany w krokach: "Zdrowie i uroda (2281)"; alternatywy manualne: "Technika, przemysł, inżynieria (3091)", "Technologie cyfrowe - IT (1500)", "Biznes i ekonomia (2718)"	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-kwalifikacji/
2) W sekcji ""Filtry"" > ""Dziedzina"" zaznacz checkbox ""Zdrowie i uroda""
3) Kliknij przycisk ""Szukaj"" w panelu filtrów"	Licznik "Znaleziono" pokazuje wartość równą liczbie przy filtrze (2281) i znacznie mniejszą niż początkowa łączna liczba.	PASS	-	Znaleziono: 2281 (dokładnie zgodne z liczbą przy filtrze).
